"zip","type","primary_city","acceptable_cities","unacceptable_cities","state","county","timezone","area_codes","latitude","longitude","world_region","country","decommissioned","estimated_population","notes"
"05457","STANDARD","Franklin",,"E Franklin, East Franklin, Lake Carmi, Morses Line, Shawville","VT","Franklin County","America/New_York","802","44.98","-72.92","NA","US","0","1336",
"05458","STANDARD","Grand Isle",,"Adams Landing, Pearl, Point Farm","VT","Grand Isle County","America/New_York","802","44.72","-73.3","NA","US","0","1905",
"05459","STANDARD","Highgate Center","Highgate Ctr","Beaulieus Corner, East Highgate, Highgate, Highgate Falls, Rixford","VT","Franklin County","America/New_York","802","44.95","-72.99","NA","US","0","1704",
"05460","PO BOX","Highgate Springs","Highgate Sprg","Highgate Spgs","VT","Franklin County","America/New_York","802","44.97","-73.1","NA","US","0","0",
"05461","STANDARD","Hinesburg",,"Lake Iroquois, Mechanicsburg","VT","Chittenden County","America/New_York","802","44.33","-73.12","NA","US","0","4309",
"05462","STANDARD","Huntington",,"Huntingtn Ctr, Huntington Center, Huntington Lower Village","VT","Chittenden County","America/New_York","802","44.33","-72.98","NA","US","0","1733",
"05463","STANDARD","Isle La Motte",,,"VT","Grand Isle County","America/New_York","802","44.87","-73.33","NA","US","0","452",
"05464","STANDARD","Jeffersonville","Jeffersonvlle, Smugglers Notch, Smuglrs Ntch","Madonna","VT","Lamoille County","America/New_York","802","44.64","-72.82","NA","US","0","2441",
"05465","STANDARD","Jericho","Jericho Center, Jericho Ctr","West Bolton","VT","Chittenden County","America/New_York","802","44.5","-72.98","NA","US","0","5143",
"05466","PO BOX","Jonesville",,,"VT","Chittenden County","America/New_York","802","44.39","-72.99","NA","US","0","0",
"05468","STANDARD","Milton",,"Georgia, West Milton","VT","Chittenden County","America/New_York","802","44.63","-73.11","NA","US","0","11914",
"05469","PO BOX","Monkton",,,"VT","Addison County","America/New_York","802","44.23","-73.15","NA","US","0","0",
"05470","PO BOX","Montgomery",,,"VT","Franklin County","America/New_York","802","44.9","-72.63","NA","US","0","0",
"05471","STANDARD","Montgomery Center","Montgomry Ctr","Alpine Haven, Hectorville, Hutchins","VT","Franklin County","America/New_York","802","44.86","-72.59","NA","US","0","653",
"05472","STANDARD","New Haven",,"Barnumtown, Brookville, New Haven Jct, New Haven Junction, New Haven Mills","VT","Addison County","America/New_York","802","44.12","-73.15","NA","US","0","1669",
"05473","STANDARD","North Ferrisburgh","N Ferrisburgh","Kimballs, Long Point, Monkton Ridge, Mount Philo, Mt Philo, No Ferrisburgh, The Hollow","VT","Addison County","America/New_York","802","44.24","-73.19","NA","US","0","1242",
